Designator,Footprint,Quantity,Value,LCSC Part #
"C1, C2, C6",0805,3,10uF, C15850
"C10, C9",0603,2,20pF,C1648
"C11, C12, C13, C16, C17, C18, C19, C24, C28, C29, C3, C30, C31, C8",0603,14,100nF,C14663
"C15, C21",0603,2,4.7uF,C19666
C22,0603,1,10nF, C57112
"C23, C25",0603,2,1uF,C15849
"C4, C5, C7",0805,3,22uF,C45783
"D1, D3, D5",0603,3,RED,C2286
D2,0603,1,BLUE,C72041
D4,D_SOD-123,1,B5819W,C8598
D6,D_SOD-323_HandSoldering,1,1N5819,C191023
J1,JST_PH_B6B-PH-K_1x06_P2.00mm_Vertical,1,Conn_01x06_Socket,
"J6, J7",PinHeader_1x27_P2.54mm_Vertical,2,Conn_01x27_Socket,
L1,L_Cenker_CKCS6045,1,4.7uH,C5291878
L2,1206,1,4.7uH,C1049
Q1,SOT-23,1,S9013,C6749
R1,0402,1,56k2,C25796
R10,0402,1,1K5,C25867
R11,0402,1,100k,C25741
"R12, R15",0402,2,100,C25076
"R13, R2, R6",0402,3,10k,C25744
R14,0402,1,39k,C25783
"R16, R17",0402,2,5.1k,C25905
"R18, R3, R8, R9",0402,4,220,C25091
"R4, R5",0402,2,4k7,C25900
"TP1, TP2, TP3, TP4, TP5",TestPoint_Pad_1.0x1.0mm,5,~,
U1,LQFP-64_10x10mm_P0.5mm,1,STM32G474RBTx,C529413
U2,SOT-23-6,1,TPS563200,C97253
"U3, U6",SOIC-8_3.9x4.9mm_P1.27mm,2,MCP2542FDxMF,
U4,SOT-223-3_TabPin2,1,AMS1117-3.3,C6186
U5,LQFP-48_7x7mm_P0.5mm,1,STM32F103C8Tx,C8734
Y1,Crystal_SMD_5032-2Pin_5.0x3.2mm,1,8MHz,C115962
