Designator,Mid X,Mid Y,Rotation,Layer
C1,122.3875,-78.5,0.0,top
C10,116.2,-61.9,270.0,bottom
C11,122.525,-72.8,0.0,bottom
C12,121.9,-63.525,90.0,bottom
C13,113.7,-69.7,90.0,bottom
C14,124.7,-56.9,0.0,bottom
C15,124.9,-61.7,90.0,bottom
C16,123.4,-67.175,270.0,bottom
C17,114.7,-46.7,270.0,bottom
C18,116.3,-72.275,90.0,bottom
C19,121.9,-67.175,270.0,bottom
C2,118.9375,-78.5,180.0,top
C20,114.9,-54.7,0.0,bottom
C21,117.35,-37.6,180.0,bottom
C22,122.250001,-41.7,0.0,bottom
C23,117.35,-39.6,180.0,bottom
C24,116.2,-50.049999,270.0,bottom
C25,118.4,-30.8,270.0,bottom
C26,122.25,-37.6375,0.0,bottom
C27,122.25,-39.7,0.0,bottom
C3,121.5,-88.9,0.0,bottom
C4,118.05,-82.2,0.0,bottom
C5,117.7,-88.9,180.0,bottom
C6,124.4,-82.925,270.0,bottom
C7,122.3,-81.475,270.0,bottom
C8,126.1,-50.725,90.0,bottom
C9,123.4,-63.525,90.0,bottom
D1,118.15,-86.0,180.0,bottom
D2,118.15,-84.25,0.0,bottom
D3,115.7,-90.8,180.0,bottom
D4,114.7,-60.3,270.0,bottom
D5,114.25,-34.749999,90.0,bottom
D6,116.4,-46.712499,270.0,bottom
J1,119.6,-94.75,0.0,bottom
J2,128.7,-62.785,0.0,top
J3,110.7,-62.785,0.0,top
L1,119.9,-64.4,270.0,bottom
L2,122.85,-33.25,180.0,bottom
Q1,124.9,-90.1,180.0,bottom
R1,122.7,-85.009999,270.0,bottom
R10,119.9,-90.990001,90.0,bottom
R11,122.0,-91.3,180.0,bottom
R12,126.0,-86.809999,270.0,bottom
R13,124.490001,-86.25,180.0,bottom
R14,124.5,-87.25,180.0,bottom
R15,114.7,-57.71,270.0,bottom
R16,116.7,-44.2,90.0,bottom
R17,117.0,-31.377501,270.0,bottom
R18,116.0,-31.3975,90.0,bottom
R2,125.290001,-79.4,0.0,bottom
R4,117.709999,-90.5,0.0,top
R5,117.7,-80.209999,270.0,bottom
R6,118.7,-80.209999,270.0,bottom
R7,118.9,-91.0,90.0,bottom
R8,120.1,-86.9,90.0,bottom
R9,120.2,-84.790001,90.0,bottom
U1,120.0,-84.5,180.0,top
U2,119.75,-67.075,0.0,top
U3,114.965,-50.225,0.0,top
U4,124.605,-56.025,0.0,top
U5,120.9,-47.3,90.0,bottom
U6,117.6,-34.5,270.0,bottom
Y1,120.6625,-75.75,180.0,top
